City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,76.89,clear sky,-9.8,-139.0333,Villa Enata
4,Gizo,SB,84.97,broken clouds,-8.103,156.8419,
5,Brazzaville,CG,74.57,overcast clouds,-4.2658,15.2832,
6,Pemangkat,ID,85.69,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
7,Butaritari,KI,82.27,broken clouds,3.0707,172.7902,Isles Sunset Lodge
8,Rikitea,PF,71.02,overcast clouds,-23.1203,-134.9692,
9,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
10,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
11,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
12,Marsa Matruh,EG,67.78,clear sky,31.3525,27.2453,Beau Site
13,Victoria,HK,82.45,broken clouds,22.2855,114.1577,Mini Central
21,Hithadhoo,MV,80.33,overcast clouds,-0.6,73.0833,Scoop Guest House
22,New Norfolk,AU,65.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
23,Lafia,NG,74.01,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
24,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,Le four à pain
27,Carnarvon,AU,72.48,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,Kruisfontein,ZA,66.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
30,Punta Alta,AR,62.37,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
32,Richards Bay,ZA,72.16,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
33,Santo Amaro Da Imperatriz,BR,70.79,overcast clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
34,Mount Gambier,AU,71.96,clear sky,-37.8333,140.7667,The Commodore
36,Sukumo,JP,69.71,clear sky,32.9333,132.7333,Sukumojo
37,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
38,Misratah,LY,70.68,clear sky,32.3754,15.0925,Almasa Hotel
39,Portland,US,66.51,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
41,Riyadh,SA,69.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
42,Gladstone,AU,75.13,overcast clouds,-23.85,151.25,Highpoint International Hotel
45,East London,ZA,70.63,scattered clouds,-33.0153,27.9116,Tu Casa
46,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
47,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Hasaki,JP,70.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
49,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
50,Marawi,PH,79.11,overcast clouds,7.9986,124.2928,Derogongan Residence
54,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
55,Mareeba,AU,88.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
58,Chake Chake,TZ,75.78,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
59,Ponta Do Sol,PT,75.0,light rain,32.6667,-17.1,Hotel do Campo
60,Arraial Do Cabo,BR,71.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Poum,NC,77.13,scattered clouds,-20.2333,164.0167,
62,Caravelas,BR,72.48,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Praia Da Vitoria,PT,61.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
67,Champerico,GT,79.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
68,Esperance,AU,66.58,broken clouds,-33.8667,121.9,Hospitality Esperance
69,Port Lincoln,AU,65.25,few clouds,-34.7333,135.8667,Port Lincoln Hotel
70,Taoudenni,ML,81.16,scattered clouds,22.6783,-3.9836,
71,Vila Velha,BR,69.94,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
73,Gamba,GA,76.21,overcast clouds,-2.65,10.0,
