City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,37.02,97,100,9.22,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,20.71,scattered clouds
2,Norman Wells,CA,65.282,-126.8329,30.24,93,100,10.36,light snow
3,Atuona,PF,-9.8,-139.0333,76.89,74,4,12.91,clear sky
4,Gizo,SB,-8.103,156.8419,84.97,67,80,6.33,broken clouds
5,Brazzaville,CG,-4.2658,15.2832,74.57,83,100,4.81,overcast clouds
6,Pemangkat,ID,1.1667,108.9667,85.69,65,36,5.84,scattered clouds
7,Butaritari,KI,3.0707,172.7902,82.27,67,56,10.63,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,71.02,72,100,18.57,overcast clouds
9,Grand Gaube,MU,-20.0064,57.6608,74.37,61,60,5.01,broken clouds
10,Georgetown,MY,5.4112,100.3354,87.73,72,20,4.61,few clouds
11,Avarua,CK,-21.2078,-159.775,77.05,73,40,12.66,scattered clouds
12,Marsa Matruh,EG,31.3525,27.2453,67.78,70,3,2.53,clear sky
13,Victoria,HK,22.2855,114.1577,82.45,67,71,8.99,broken clouds
14,Albany,US,42.6001,-73.9662,41.63,82,65,6.76,broken clouds
15,Ossora,RU,59.2353,163.0719,32.86,44,100,6.13,overcast clouds
16,Lamar,US,33.6668,-95.5836,50.36,58,0,8.05,clear sky
17,Tuktoyaktuk,CA,69.4541,-133.0374,26.87,87,100,6.31,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,58.8,88,12,10.07,few clouds
19,Yellowknife,CA,62.456,-114.3525,45.5,85,8,16.58,clear sky
20,Qaanaaq,GL,77.484,-69.3632,-0.72,62,0,11.92,clear sky
21,Hithadhoo,MV,-0.6,73.0833,80.33,76,91,8.16,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,65.88,47,8,1.99,clear sky
23,Lafia,NG,8.4833,8.5167,74.01,89,100,2.75,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,74.79,73,17,8.25,few clouds
25,Griffith,US,41.5284,-87.4237,39.13,56,0,6.91,clear sky
26,College,US,64.8569,-147.8028,33.21,91,100,3.44,fog
27,Carnarvon,AU,-24.8667,113.6333,72.48,61,2,12.93,clear sky
28,Kyra,RU,49.5776,111.9753,37.87,97,100,3.51,overcast clouds
29,Kruisfontein,ZA,-34.0033,24.7314,66.88,77,40,21.23,scattered clouds
30,Punta Alta,AR,-38.8759,-62.0736,62.37,64,100,10.58,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,56.48,74,75,14.07,broken clouds
32,Richards Bay,ZA,-28.783,32.0377,72.16,75,60,12.28,broken clouds
33,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,70.79,99,100,1.86,overcast clouds
34,Mount Gambier,AU,-37.8333,140.7667,71.96,56,6,8.59,clear sky
35,Ushuaia,AR,-54.8,-68.3,35.26,87,40,11.5,scattered clouds
36,Sukumo,JP,32.9333,132.7333,69.71,46,0,3.58,clear sky
37,Camacha,PT,33.0833,-16.3333,69.22,83,20,11.5,few clouds
38,Misratah,LY,32.3754,15.0925,70.68,59,0,5.55,clear sky
39,Portland,US,45.5234,-122.6762,66.51,72,0,5.99,smoke
40,Thompson,CA,55.7435,-97.8558,32.16,100,100,2.3,fog
41,Riyadh,SA,24.6877,46.7219,69.94,17,3,2.26,clear sky
42,Gladstone,AU,-23.85,151.25,75.13,78,100,8.05,overcast clouds
43,Kodiak,US,57.79,-152.4072,47.71,66,75,11.5,broken clouds
44,Coihaique,CL,-45.5752,-72.0662,50.61,96,95,7.27,light rain
45,East London,ZA,-33.0153,27.9116,70.63,87,40,20.8,scattered clouds
46,San Andres,CO,12.5847,-81.7006,84.22,79,20,8.05,few clouds
47,Kapaa,US,22.0752,-159.319,75.18,80,100,13.8,overcast clouds
48,Hasaki,JP,35.7333,140.8333,70.29,49,0,11.52,clear sky
49,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,13.8,scattered clouds
50,Marawi,PH,7.9986,124.2928,79.11,79,99,1.12,overcast clouds
51,Jiuquan,CN,39.7432,98.5174,54.59,22,0,4.36,clear sky
52,Muros,ES,42.7762,-9.0603,59.85,89,16,29.26,few clouds
53,Oranjemund,NA,-28.55,16.4333,59.72,91,83,13.2,broken clouds
54,Caucaia,BR,-3.7361,-38.6531,80.55,70,40,18.41,scattered clouds
55,Mareeba,AU,-17.0,145.4333,88.45,62,63,5.93,broken clouds
56,Dikson,RU,73.5069,80.5464,32.32,98,100,22.77,light snow
57,Montgomery,US,39.1501,-77.1997,45.32,83,0,3.44,clear sky
58,Chake Chake,TZ,-5.2459,39.7666,75.78,72,74,8.1,broken clouds
59,Ponta Do Sol,PT,32.6667,-17.1,75.0,92,100,12.73,light rain
